"ID","ip","score","level","data","ts"
105,"1.145.162.46",0,"","{""config"":{""level"":""1"",""spins"":""5""}}","2021-11-04 01:02:33"
115,"49.196.176.93",20,"","{""tricks"":[{""parsed"":""Switch BS Full Torque"",""orig"":""Switch | None BS Full Torque | Forwards"",""points"":""3""},{""parsed"":""450 Channel Frontside to Fakie out"",""orig"":""Forwards | Outspin 450 | Channel Frontside | Fakie"",""points"":""6""},{""parsed"":""Switch Top X-Grind"",""orig"":""Switch | Topside X-Grind"",""points"":""4""},{""parsed"":""Switch True Soyale"",""orig"":""Switch | Outspin 180 | None Torque Soul"",""points"":""4""},{""parsed"":""Switch BS Unity to Fakie out"",""orig"":""Switch | None BS Unity | Fakie"",""points"":""3""}],""config"":{""level"":""3"",""spins"":""5""}}","2021-11-04 01:37:18"
125,"185.215.60.245",29,"","{""tricks"":[{""parsed"":""Switch 630 FS Royale to Fakie out"",""orig"":""Switch | Outspin 630 | None FS Royale | Fakie"",""points"":""7""},{""parsed"":""540 AO Soul to 180 out"",""orig"":""Forwards | Inspin 540 | None Soul | Inspin 180"",""points"":""5""},{""parsed"":""Switch Mistrial to 720 out"",""orig"":""Switch | None Mistrial | Outspin 720"",""points"":""7""},{""parsed"":""True Fullcab 720 Citric Acid"",""orig"":""Fakie | Outspin 720 | None Citric Acid"",""points"":""8""},{""parsed"":""BS Torque"",""orig"":""Forwards | None BS Torque | Forwards"",""points"":""2""}],""config"":{""level"":""3"",""spins"":""5""}}","2021-11-04 04:47:03"
135,"185.110.90.65",3,"","{""tricks"":[{""parsed"":""True Soul to 180 rewind out"",""orig"":""Forwards | Outspin 180 | Soul | Inspin 180"",""points"":""3""}],""config"":{""level"":""1"",""spins"":""2""}}","2021-11-04 08:19:03"
145,"185.110.90.65",20,"","{""tricks"":[{""parsed"":""Hurricane PStar"",""orig"":""Forwards | Outspin 360 | None PStar"",""points"":""4""},{""parsed"":""Switch 630 FS Savannah to Fakie out"",""orig"":""Switch | Outspin 630 | None FS Savannah | Fakie"",""points"":""7""},{""parsed"":""Switch Sidewalk"",""orig"":""Switch | None Sidewalk"",""points"":""2""},{""parsed"":""True Fullcab Mistrial"",""orig"":""Fakie | Outspin 360 | None Mistrial"",""points"":""5""},{""parsed"":""FS Full Torque to Fakie out"",""orig"":""Forwards | None FS Full Torque | Fakie"",""points"":""2""}],""config"":{""level"":""3"",""spins"":""5""}}","2021-11-04 08:21:43"
155,::1,0,"","{""config"":{""level"":""1"",""spins"":""5""}}","2021-11-04 08:48:01"
165,::1,0,"","{""config"":{""level"":""1"",""spins"":""5""}}","2021-11-04 08:48:38"
175,::1,0,"","{""config"":{""level"":""1"",""spins"":""5""}}","2021-11-04 08:50:52"
185,::1,0,"","{""config"":{""level"":""1"",""spins"":""5""}}","2021-11-04 08:51:51"
195,::1,0,"","{""config"":{""level"":""1"",""spins"":""5""}}","2021-11-04 08:51:54"
205,::1,0,"","{""config"":{""level"":""1"",""spins"":""5""}}","2021-11-04 08:52:14"
215,::1,0,"","{""config"":{""level"":""1"",""spins"":""5""}}","2021-11-04 08:52:24"
225,::1,0,"","{""config"":{""level"":""1"",""spins"":""5""}}","2021-11-04 08:52:59"
235,::1,0,"","{""config"":{""level"":""1"",""spins"":""5""}}","2021-11-04 08:53:31"
245,::1,0,"","{""config"":{""level"":""1"",""spins"":""5""}}","2021-11-04 08:53:53"
255,::1,0,"","{""config"":{""level"":""1"",""spins"":""5""}}","2021-11-04 08:56:40"
265,::1,0,"","{""config"":{""level"":""1"",""spins"":""5""}}","2021-11-04 08:58:31"
275,::1,0,"","{""config"":{""level"":""1"",""spins"":""5""}}","2021-11-04 08:59:02"
285,::1,0,"","{""config"":{""level"":""1"",""spins"":""5""}}","2021-11-04 08:59:06"
295,"2.26.61.205",12,"","{""tricks"":[{""parsed"":""FS Unity to Fakie out"",""orig"":""Forwards | FS Unity | Fakie"",""points"":""2""},{""parsed"":""BS Royale to Fakie out"",""orig"":""Forwards | BS Royale | Fakie"",""points"":""2""},{""parsed"":""AO X-Grind to 180 out"",""orig"":""Forwards | Inspin 180 | X-Grind | Inspin 180"",""points"":""4""},{""parsed"":""BS Savannah to Fakie out"",""orig"":""Forwards | BS Savannah | Fakie"",""points"":""2""},{""parsed"":""Acid to 180 out"",""orig"":""Forwards | Acid | Inspin 180"",""points"":""2""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-04 09:35:17"
305,"2.26.61.205",3,"","{""tricks"":[{""parsed"":""AO Mizou to 180 rewind out"",""orig"":""Forwards | Inspin 180 | None Mizou | Outspin 180 "",""points"":""3""}],""config"":{""level"":""4"",""spins"":""5""}}","2021-11-04 09:40:54"
315,"185.110.90.65",5,"","{""tricks"":[{""parsed"":""Halfcab FS Byn Soul to 180 out"",""orig"":""Fakie | Inspin 180 | None FS Byn Soul | Inspin 180"",""points"":""5""}],""config"":{""level"":""3"",""spins"":""2""}}","2021-11-04 10:04:27"
325,"185.110.90.65",6,"","{""tricks"":[{""parsed"":""AO X-Grind"",""orig"":""Forwards | Inspin 180 | None X-Grind"",""points"":""3""},{""parsed"":""Fakie FS Torque to Fakie out"",""orig"":""Fakie | None FS Torque | Fakie"",""points"":""3""}],""config"":{""level"":""4"",""spins"":""2""}}","2021-11-04 10:05:46"
335,"185.110.90.65",14,"","{""tricks"":[{""parsed"":""Fakie 540 Sweatstance to 360 rewind out"",""orig"":""Fakie | Inspin 540 | Topside Mizou | Outspin 360"",""points"":""8""},{""parsed"":""720 BS Byn Soul"",""orig"":""Forwards | Inspin 720 | None BS Byn Soul"",""points"":""6""}],""config"":{""level"":""3"",""spins"":""2""}}","2021-11-04 10:22:34"
345,"178.37.181.61",11,"","{""tricks"":[{""parsed"":""Makio"",""orig"":""Forwards | Makio"",""points"":""1""},{""parsed"":""Torque Soul to 180 out"",""orig"":""Forwards | Torque Soul | Inspin 180"",""points"":""3""},{""parsed"":""AO X-Grind"",""orig"":""Forwards | Inspin 180 | X-Grind"",""points"":""3""},{""parsed"":""BS Backslide"",""orig"":""Forwards | BS Backslide | Forwards"",""points"":""2""},{""parsed"":""FS Torque"",""orig"":""Forwards | FS Torque | Forwards"",""points"":""2""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-04 10:31:13"
355,"120.22.62.23",2,"","{""tricks"":[{""parsed"":""FS Unity to Fakie out"",""orig"":""Forwards | None FS Unity | Fakie"",""points"":""2""}],""config"":{""level"":""2"",""spins"":""5""}}","2021-11-04 11:12:29"
365,"120.22.62.23",10,"","{""tricks"":[{""parsed"":""AO Acid"",""orig"":""Forwards | Inspin 180 | Acid"",""points"":""2""},{""parsed"":""FS Royale"",""orig"":""Forwards | FS Royale | Forwards"",""points"":""2""},{""parsed"":""FS Full Torque"",""orig"":""Forwards | FS Full Torque | Forwards"",""points"":""2""},{""parsed"":""FS Unity to Fakie out"",""orig"":""Forwards | FS Unity | Fakie"",""points"":""2""},{""parsed"":""FS Torque to Fakie out"",""orig"":""Forwards | FS Torque | Fakie"",""points"":""2""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-04 11:14:45"
375,"213.24.127.1",14,"","{""tricks"":[{""parsed"":""Fakie Frontside"",""orig"":""Fakie | None Frontside | Forwards"",""points"":""2""},{""parsed"":""FS Backslide to Fakie out"",""orig"":""Forwards | None FS Backslide | Fakie"",""points"":""2""},{""parsed"":""Halfcab Fishbrain"",""orig"":""Fakie | Inspin 180 | Topside Makio"",""points"":""4""},{""parsed"":""Tough Soyale to 180 out"",""orig"":""Forwards | Inspin 180 | Tough Torque Soul | Inspin 180"",""points"":""6""}],""config"":{""level"":""4"",""spins"":""5""}}","2021-11-04 14:33:58"
385,"213.24.127.1",8,"","{""tricks"":[{""parsed"":""Backside"",""orig"":""Forwards | Backside | Forwards"",""points"":""1""},{""parsed"":""Mizou"",""orig"":""Forwards | Mizou"",""points"":""1""},{""parsed"":""BS Fastslide to Fakie out"",""orig"":""Forwards | BS Fastslide | Fakie"",""points"":""3""},{""parsed"":""AO Makio to 180 rewind out"",""orig"":""Forwards | Inspin 180 | Makio | Outspin 180 "",""points"":""3""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-04 14:44:36"
395,"73.10.33.183",8,"","{""tricks"":[{""parsed"":""AO Soul to 180 rewind out"",""orig"":""Forwards | Inspin 180 | Soul | Outspin 180 "",""points"":""3""},{""parsed"":""BS Full Torque"",""orig"":""Forwards | BS Full Torque | Forwards"",""points"":""2""},{""parsed"":""Mistrial to 180 out"",""orig"":""Forwards | Mistrial | Inspin 180"",""points"":""3""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-04 15:55:20"
405,"73.10.33.183",0,"","{""config"":{""level"":""1"",""spins"":""5""}}","2021-11-04 15:55:59"
415,"200.68.139.201",2,"","{""tricks"":[{""parsed"":""X-Grind"",""orig"":""Forwards | X-Grind"",""points"":""2""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-05 02:14:01"
425,"200.68.139.201",0,"","{""config"":{""level"":""4"",""spins"":""6""}}","2021-11-05 02:47:29"
435,"1.146.56.148",7,"","{""tricks"":[{""parsed"":""AO Mistrial to 180 out"",""orig"":""Forwards | Inspin 180 | Mistrial | Inspin 180"",""points"":""4""},{""parsed"":""Frontside to Fakie out"",""orig"":""Forwards | Frontside | Fakie"",""points"":""1""},{""parsed"":""BS Unity"",""orig"":""Forwards | BS Unity | Forwards"",""points"":""2""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-05 08:03:48"
445,"185.12.128.181",6,"","{""tricks"":[{""parsed"":""True Halfcab Makio"",""orig"":""Fakie | Outspin 180 | None Makio"",""points"":""3""},{""parsed"":""Kindgrind"",""orig"":""Forwards | Inspin 180 | Topside Mizou"",""points"":""3""}],""config"":{""level"":""4"",""spins"":""2""}}","2021-11-05 16:22:03"
455,"185.110.90.65",8,"","{""tricks"":[{""parsed"":""Mizou to 180 out"",""orig"":""Forwards | Mizou | Inspin 180"",""points"":""2""},{""parsed"":""FS Unity"",""orig"":""Forwards | FS Unity | Forwards"",""points"":""2""},{""parsed"":""BS Torque"",""orig"":""Forwards | BS Torque | Forwards"",""points"":""2""},{""parsed"":""BS Full Torque to Fakie out"",""orig"":""Forwards | BS Full Torque | Fakie"",""points"":""2""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-06 18:34:15"
465,"92.105.102.4",19,"","{""tricks"":[{""parsed"":""AO Top Open Book to 180 out"",""orig"":""Forwards | Inspin 180 | Topside Open Book | Inspin 180"",""points"":""5""},{""parsed"":""AO Grab Makio"",""orig"":""Forwards | Inspin 180 | Grab Makio"",""points"":""3""},{""parsed"":""AO PStar to 360 rewind out"",""orig"":""Forwards | Inspin 180 | None PStar | Outspin 360"",""points"":""5""},{""parsed"":""Mizou to 180 out"",""orig"":""Forwards | None Mizou | Inspin 180"",""points"":""2""},{""parsed"":""BS Royale to 270 out"",""orig"":""Forwards | None BS Royale | 270"",""points"":""4""}],""config"":{""level"":""2"",""spins"":""5""}}","2021-11-07 18:13:26"
475,"92.105.102.4",11,"","{""tricks"":[{""parsed"":""True Acid to 180 rewind out"",""orig"":""Forwards | Outspin 180 | Acid | Inspin 180"",""points"":""3""},{""parsed"":""BS Royale"",""orig"":""Forwards | BS Royale | Forwards"",""points"":""2""},{""parsed"":""Mizou to 180 out"",""orig"":""Forwards | Mizou | Inspin 180"",""points"":""2""},{""parsed"":""FS Fastslide to Fakie out"",""orig"":""Forwards | FS Fastslide | Fakie"",""points"":""3""},{""parsed"":""Frontside"",""orig"":""Forwards | Frontside | Forwards"",""points"":""1""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-07 18:14:35"
485,"92.105.102.4",11,"","{""tricks"":[{""parsed"":""BS Tabernacle to 180 out"",""orig"":""Forwards | BS Tabernacle | Inspin 180"",""points"":""3""},{""parsed"":""Mizou to 180 out"",""orig"":""Forwards | Mizou | Inspin 180"",""points"":""2""},{""parsed"":""True Acid to 180 rewind out"",""orig"":""Forwards | Outspin 180 | Acid | Inspin 180"",""points"":""3""},{""parsed"":""BS Full Torque to Fakie out"",""orig"":""Forwards | BS Full Torque | Fakie"",""points"":""2""},{""parsed"":""Backside"",""orig"":""Forwards | Backside | Forwards"",""points"":""1""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-07 18:15:08"
495,"92.105.102.4",8,"","{""tricks"":[{""parsed"":""X-Grind to 180 out"",""orig"":""Forwards | X-Grind | Outspin 180 "",""points"":""3""},{""parsed"":""Backside"",""orig"":""Forwards | Backside | Forwards"",""points"":""1""},{""parsed"":""Mizou"",""orig"":""Forwards | Mizou"",""points"":""1""},{""parsed"":""Frontside"",""orig"":""Forwards | Frontside | Forwards"",""points"":""1""},{""parsed"":""AO Soul"",""orig"":""Forwards | Inspin 180 | Soul"",""points"":""2""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-07 18:15:35"
505,"92.105.102.4",11,"","{""tricks"":[{""parsed"":""Mistrial"",""orig"":""Forwards | Mistrial"",""points"":""2""},{""parsed"":""Backside to Fakie out"",""orig"":""Forwards | Backside | Fakie"",""points"":""1""},{""parsed"":""AO Acid to 180 out"",""orig"":""Forwards | Inspin 180 | Acid | Inspin 180"",""points"":""3""},{""parsed"":""BS Royale to Fakie out"",""orig"":""Forwards | BS Royale | Fakie"",""points"":""2""},{""parsed"":""X-Grind to 180 out"",""orig"":""Forwards | X-Grind | Outspin 180 "",""points"":""3""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-07 18:16:58"
515,"92.105.102.4",9,"","{""tricks"":[{""parsed"":""Backside to Fakie out"",""orig"":""Forwards | Backside | Fakie"",""points"":""1""},{""parsed"":""AO Mizou"",""orig"":""Forwards | Inspin 180 | Mizou"",""points"":""2""},{""parsed"":""True Soul to 180 rewind out"",""orig"":""Forwards | Outspin 180 | Soul | Inspin 180"",""points"":""3""},{""parsed"":""Frontside"",""orig"":""Forwards | Frontside | Forwards"",""points"":""1""},{""parsed"":""Acid to 180 out"",""orig"":""Forwards | Acid | Inspin 180"",""points"":""2""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-07 18:17:27"
525,"92.105.102.4",13,"","{""tricks"":[{""parsed"":""FS Pudslide to Fakie out"",""orig"":""Forwards | FS Pudslide | Fakie"",""points"":""3""},{""parsed"":""Mistrial to 180 out"",""orig"":""Forwards | Mistrial | Inspin 180"",""points"":""3""},{""parsed"":""AO Mizou to 180 out"",""orig"":""Forwards | Inspin 180 | Mizou | Inspin 180"",""points"":""3""},{""parsed"":""FS Royale to Fakie out"",""orig"":""Forwards | FS Royale | Fakie"",""points"":""2""},{""parsed"":""Torque Soul"",""orig"":""Forwards | Torque Soul"",""points"":""2""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-07 18:17:51"
535,"92.105.102.4",13,"","{""tricks"":[{""parsed"":""True Mizou to 180 rewind out"",""orig"":""Forwards | Outspin 180 | Mizou | Inspin 180"",""points"":""3""},{""parsed"":""AO Mistrial"",""orig"":""Forwards | Inspin 180 | Mistrial"",""points"":""3""},{""parsed"":""AO PStar"",""orig"":""Forwards | Inspin 180 | PStar"",""points"":""3""},{""parsed"":""Makio"",""orig"":""Forwards | Makio"",""points"":""1""},{""parsed"":""BS Cab driver to Fakie out"",""orig"":""Forwards | BS Cab driver | Fakie"",""points"":""3""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-07 18:20:23"
545,"92.105.102.4",14,"","{""tricks"":[{""parsed"":""True Soul to 180 rewind out"",""orig"":""Forwards | Outspin 180 | Soul | Inspin 180"",""points"":""3""},{""parsed"":""True Mizou to 180 rewind out"",""orig"":""Forwards | Outspin 180 | Mizou | Inspin 180"",""points"":""3""},{""parsed"":""BS Cab driver"",""orig"":""Forwards | BS Cab driver | Forwards"",""points"":""3""},{""parsed"":""BS Torque to Fakie out"",""orig"":""Forwards | BS Torque | Fakie"",""points"":""2""},{""parsed"":""X-Grind to 180 out"",""orig"":""Forwards | X-Grind | Inspin 180"",""points"":""3""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-07 18:20:53"
555,"92.105.102.4",13,"","{""tricks"":[{""parsed"":""AO Makio"",""orig"":""Forwards | Inspin 180 | Makio"",""points"":""2""},{""parsed"":""Mizou to 180 out"",""orig"":""Forwards | Mizou | Inspin 180"",""points"":""2""},{""parsed"":""AO Mistrial to 180 out"",""orig"":""Forwards | Inspin 180 | Mistrial | Inspin 180"",""points"":""4""},{""parsed"":""BS Cab driver to Fakie out"",""orig"":""Forwards | BS Cab driver | Fakie"",""points"":""3""},{""parsed"":""X-Grind"",""orig"":""Forwards | X-Grind"",""points"":""2""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-07 18:21:19"
565,"92.105.102.4",9,"","{""tricks"":[{""parsed"":""AO Mistrial to 180 out"",""orig"":""Forwards | Inspin 180 | Mistrial | Inspin 180"",""points"":""4""},{""parsed"":""AO Makio"",""orig"":""Forwards | Inspin 180 | Makio"",""points"":""2""},{""parsed"":""PStar"",""orig"":""Forwards | PStar"",""points"":""2""},{""parsed"":""Soul"",""orig"":""Forwards | Soul"",""points"":""1""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-07 18:22:06"
575,"92.105.102.4",10,"","{""tricks"":[{""parsed"":""Makio"",""orig"":""Forwards | Makio"",""points"":""1""},{""parsed"":""AO Mistrial"",""orig"":""Forwards | Inspin 180 | Mistrial"",""points"":""3""},{""parsed"":""AO PStar to 180 rewind out"",""orig"":""Forwards | Inspin 180 | PStar | Outspin 180 "",""points"":""4""},{""parsed"":""Frontside to Fakie out"",""orig"":""Forwards | Frontside | Fakie"",""points"":""1""},{""parsed"":""Backside"",""orig"":""Forwards | Backside | Forwards"",""points"":""1""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-07 18:23:23"
585,"92.105.102.4",10,"","{""tricks"":[{""parsed"":""AO PStar to 180 out"",""orig"":""Forwards | Inspin 180 | PStar | Inspin 180"",""points"":""4""},{""parsed"":""FS Royale to Fakie out"",""orig"":""Forwards | FS Royale | Fakie"",""points"":""2""},{""parsed"":""Backside"",""orig"":""Forwards | Backside | Forwards"",""points"":""1""},{""parsed"":""Soyale"",""orig"":""Forwards | Inspin 180 | Torque Soul"",""points"":""3""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-07 18:24:23"
595,"185.110.90.65",9,"","{""tricks"":[{""parsed"":""FS Unity to 270 out"",""orig"":""Forwards | None FS Unity | 270"",""points"":""4""},{""parsed"":""FS Full Torque to Fakie out"",""orig"":""Forwards | None FS Full Torque | Fakie"",""points"":""2""},{""parsed"":""Frontside to Fakie out"",""orig"":""Forwards | None Frontside | Fakie"",""points"":""1""},{""parsed"":""FS Savannah"",""orig"":""Forwards | None FS Savannah | Forwards"",""points"":""2""}],""config"":{""level"":""4"",""spins"":""5""}}","2021-11-08 22:57:11"
605,"185.110.90.65",8,"","{""tricks"":[{""parsed"":""Mizou to 180 out"",""orig"":""Forwards | Mizou | Outspin 180 "",""points"":""2""},{""parsed"":""AO PStar to 180 rewind out"",""orig"":""Forwards | Inspin 180 | PStar | Outspin 180 "",""points"":""4""},{""parsed"":""Acid to 180 out"",""orig"":""Forwards | Acid | Inspin 180"",""points"":""2""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-10 07:16:29"
615,"71.192.26.31",6,"","{""tricks"":[{""parsed"":""Mistrial to 180 out"",""orig"":""Forwards | Mistrial | Inspin 180"",""points"":""3""},{""parsed"":""Soul to 180 out"",""orig"":""Forwards | Soul | Outspin 180 "",""points"":""2""},{""parsed"":""Mizou"",""orig"":""Forwards | Mizou"",""points"":""1""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-13 09:50:54"
625,"71.192.26.31",5,"","{""tricks"":[{""parsed"":""AO Top Acid to 360 rewind out"",""orig"":""Forwards | Inspin 180 | Topside Acid | Outspin 360"",""points"":""5""}],""config"":{""level"":""2"",""spins"":""5""}}","2021-11-13 09:54:24"
635,"172.58.137.134",8,"","{""tricks"":[{""parsed"":""BS Unity"",""orig"":""Forwards | BS Unity | Forwards"",""points"":""2""},{""parsed"":""FS Torque to Fakie out"",""orig"":""Forwards | FS Torque | Fakie"",""points"":""2""},{""parsed"":""Makio to 180 out"",""orig"":""Forwards | Makio | Inspin 180"",""points"":""2""},{""parsed"":""AO Acid"",""orig"":""Forwards | Inspin 180 | Acid"",""points"":""2""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-13 14:22:56"
645,"172.58.137.134",31,"","{""tricks"":[{""parsed"":""720 Hurricane X-Grind to 540 rewind out"",""orig"":""Forwards | Outspin 720 | None X-Grind | Inspin 540"",""points"":""9""},{""parsed"":""AO Top Soul to 720 out"",""orig"":""Forwards | Inspin 180 | Topside Soul | Inspin 720"",""points"":""7""},{""parsed"":""Switch 270 FS Royale to 450 out"",""orig"":""Switch | Outspin 270 | None FS Royale | 450"",""points"":""8""},{""parsed"":""Backside"",""orig"":""Forwards | None Backside | Forwards"",""points"":""1""},{""parsed"":""630 BS Unity"",""orig"":""Forwards | Inspin 630 | None BS Unity | Forwards"",""points"":""6""}],""config"":{""level"":""3"",""spins"":""5""}}","2021-11-13 14:24:20"
655,"107.115.17.7",4,"","{""tricks"":[{""parsed"":""Makio"",""orig"":""Forwards | Makio"",""points"":""1""},{""parsed"":""FS Pudslide"",""orig"":""Forwards | FS Pudslide | Forwards"",""points"":""3""}],""config"":{""level"":""1"",""spins"":""5""}}","2021-11-13 21:26:12"
665,"185.110.90.65",2,"","{""tricks"":{""tricks"":[{""parsed"":""FS Full Torque to Fakie out"",""orig"":""Forwards | FS Full Torque | Fakie"",""points"":""2""}],""skipped"":[{""parsed"":""FS Full Torque to Fakie out"",""orig"":""Forwards | FS Full Torque | Fakie"",""points"":""2""}]},""config"":{""level"":""1"",""spins"":""2""}}","2021-11-14 13:40:55"
675,::1,1,"","{""tricks"":{""tricks"":[{""parsed"":""Makio"",""orig"":""Forwards | Makio"",""points"":""1""}],""skipped"":[{""parsed"":""Makio"",""orig"":""Forwards | Makio"",""points"":""1""}]},""config"":{""level"":""1"",""spins"":""2""}}","2021-11-14 13:44:11"
685,"185.110.90.65",3,"","{""tricks"":{""tricks"":[{""parsed"":""FS Fastslide"",""orig"":""Forwards | FS Fastslide | Forwards"",""points"":""3""}],""skipped"":[{""parsed"":""FS Fastslide"",""orig"":""Forwards | FS Fastslide | Forwards"",""points"":""3""}]},""config"":{""level"":""1"",""spins"":""2""}}","2021-11-14 13:47:00"
695,"185.110.90.65",0,"","{""config"":{""level"":""1"",""spins"":""2""}}","2021-11-14 13:47:42"
